<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
08.10.2018,114440,114440,114390,114420
08.10.2018,114430,114440,114360,114420
08.10.2018,114420,114450,114350,114370
08.10.2018,114380,114470,114370,114440
08.10.2018,114440,114460,114410,114420
08.10.2018,114410,114420,114350,114360
08.10.2018,114370,114440,114250,114390
08.10.2018,114390,114460,114370,114450
08.10.2018,114440,114470,114430,114450
08.10.2018,114450,114480,114420,114470
08.10.2018,114440,114460,114420,114440
08.10.2018,114430,114450,114400,114410
08.10.2018,114430,114430,114360,114400
08.10.2018,114410,114420,114360,114380
08.10.2018,114370,114390,114360,114370
08.10.2018,114370,114370,114300,114300
08.10.2018,114310,114330,114250,114310
08.10.2018,114300,114310,114150,114220
08.10.2018,114210,114230,114160,114160
08.10.2018,114170,114220,114160,114200
08.10.2018,114190,114230,114180,114200
08.10.2018,114200,114240,114190,114240
08.10.2018,114230,114240,114150,114150
08.10.2018,114160,114180,114080,114140
08.10.2018,114140,114180,114130,114160
08.10.2018,114160,114200,114150,114190
08.10.2018,114200,114290,114200,114220
08.10.2018,114220,114240,114190,114230
08.10.2018,114220,114280,114200,114280
08.10.2018,114280,114290,114260,114290
08.10.2018,114300,114340,114230,114240
08.10.2018,114250,114270,114220,114240
08.10.2018,114240,114310,114220,114280
08.10.2018,114280,114340,114260,114340
08.10.2018,114350,114370,114330,114350
08.10.2018,114340,114390,114310,114360
08.10.2018,114370,114390,114340,114350
08.10.2018,114350,114380,114290,114310
08.10.2018,114300,114320,114280,114300
08.10.2018,114300,114340,114260,114260
08.10.2018,114260,114340,114260,114330
08.10.2018,114330,114330,114280,114300
08.10.2018,114300,114330,114200,114240
08.10.2018,114240,114330,114230,114310
08.10.2018,114320,114320,114290,114290
08.10.2018,114300,114360,114300,114350
08.10.2018,114350,114390,114290,114300
08.10.2018,114290,114320,114290,114300
08.10.2018,114310,114320,114290,114290
08.10.2018,114310,114390,114300,114380
08.10.2018,114380,114460,114360,114410
08.10.2018,114410,114430,114390,114430
08.10.2018,114430,114440,114360,114380
08.10.2018,114390,114400,114350,114360
08.10.2018,114370,114380,114370,114380
08.10.2018,114390,114400,114360,114390
08.10.2018,114390,114410,114370,114400
08.10.2018,114410,114410,114380,114390
08.10.2018,114380,114420,114380,114400
08.10.2018,114400,114460,114390,114450
08.10.2018,114460,114540,114450,114480
08.10.2018,114490,114630,114460,114600
08.10.2018,114610,114710,114600,114690
08.10.2018,114700,114700,114590,114600
08.10.2018,114610,114640,114540,114540
08.10.2018,114550,114610,114530,114600
08.10.2018,114600,114620,114560,114590
08.10.2018,114600,114640,114580,114600
08.10.2018,114590,114600,114520,114540
08.10.2018,114540,114560,114510,114520
08.10.2018,114510,114550,114490,114540
08.10.2018,114540,114610,114540,114590
08.10.2018,114590,114630,114580,114590
08.10.2018,114590,114600,114530,114570
08.10.2018,114570,114580,114530,114580
